id;nome;criado;atualizado;ultimo_login
1;Legacy;2021-04-07T04:33:33;2021-04-07T02:59:20;2021-04-07T09:20:13
2;Customer;2021-04-07T00:17:57;2021-04-07T05:54:38;2021-04-07T06:10:07
3;evolve marca;2021-04-06T14:32:41;2021-04-07T10:15:05;2021-04-07T00:56:22
4;Rua;2021-04-06T13:55:56;2021-04-06T22:58:38;2021-04-06T13:08:53
5;SAS payment;2021-04-07T09:42:00;2021-04-06T20:13:30;2021-04-07T07:11:12
6;frictionless brand vertical;2021-04-07T11:28:40;2021-04-06T15:41:28;2021-04-07T09:31:38
7;empower;2021-04-06T16:24:17;2021-04-07T05:43:58;2021-04-06T16:23:16
8;Forward;2021-04-06T13:09:07;2021-04-07T02:15:38;2021-04-06T19:34:28
9;systems Macio;2021-04-07T06:02:44;2021-04-06T12:54:19;2021-04-07T10:32:37
10;Pará Organic;2021-04-06T22:28:59;2021-04-07T11:29:19;2021-04-06T20:59:36
