id;url_arquivo;url_criticas;criado;estado;processado
1;aggregate overriding;bypass Chapéu;2021-04-06T16:48:05;PROCESSADO;2021-04-06T22:54:50
2;Música Architect;Portugal pixel Account;2021-04-06T14:27:03;PROCESSADO;2021-04-07T00:28:02
3;Chief;Algodão;2021-04-07T11:15:33;ERRO;2021-04-07T03:01:12
4;invoice;Dollar Brand;2021-04-06T15:24:35;PROCESSADO;2021-04-06T23:43:38
5;Roupas impactful;intangible Metal;2021-04-06T21:05:18;PROCESSO_RESSALVA;2021-04-07T08:17:10
6;payment Luxemburgo deposit;Incrível throughput limão;2021-04-07T02:43:22;PROCESSANDO;2021-04-07T04:00:07
7;Livros;web-enabled didactic Buckinghamshire;2021-04-07T05:09:17;ENVIADO;2021-04-06T22:38:16
8;Customer;connect rosa;2021-04-06T20:04:32;ERRO;2021-04-06T13:24:12
9;Corporate client-driven;Bacon;2021-04-07T10:01:30;ERRO;2021-04-06T20:39:02
10;Saúde Marginal microchip;HTTP;2021-04-07T11:29:53;PROCESSANDO;2021-04-06T13:12:15
