id;nome;cnpj;razao_social
1;EXE index clicks-and-mortar;Alameda parse;circuit override
2;Bola world-class;Congelado Metrics back-end;bifurcated payment Borders
3;SSL multi-byte Gostoso;auxiliary Marginal Paraná;circuit Coordinator Ethiopian
4;product Avon pele;Accounts navigate deposit;driver Madeira
5;Dinar Account virtual;Cambridgeshire Ferramentas;Genérico Account
6;Loan;niches Specialist;copy fuligem Future
7;Granito Persistent convergence;Argentina Paradigm;Gerais e-tailers grow
8;Licenciado digital;Avon Luvas;TCP Moldávia
9;panel Estados;Managed SSL synergistic;Senior cutting-edge caramelo
10;Fantástico;Síria Branding;Brinquedos input Fresco
