id;nome;codigo;cnpj
1;transform Investment;Buckinghamshire District;service-desk Goiás
2;Savings mão;SSL;deposit Alameda
3;Travessa overriding Coordinator;Avenida experiences Investment;Francesa Organized Lindo
4;installation generation supply-chains;Home capacitor;Salsicha
5;Genérico complexity extensible;Hryvnia;haptic calculate circuit
6;Accountability do Salada;seamless;Savings Equador à
7;state;limão Grosso Brinquedos;Toalhas Buckinghamshire
8;Zimbabwe fuligem heuristic;Checking motivating Chief;Bedfordshire
9;Mobility quantifying;Lari District;architecture bus
10;disintermediate Consultant;Macio amarelo;Administrator EXE
