id;estado;criado;data_aprovacao;data_expiracao;renda;valor_solicitado;qt_parcelas_solicitado;valor_aprovado;valor_parcela_aprovado;qt_parcelas_aprovado;data_primeiro_vencimento;data_ultimo_vencimento
1;REPROVADO;2021-04-06T18:47:50;2021-04-06T16:41:39;2021-04-07;13371;18027;61500;77956;62697;41856;2021-04-06;2021-04-07
2;CANCELADO;2021-04-07T03:15:00;2021-04-06T22:38:57;2021-04-07;84527;84918;33064;80768;83795;70887;2021-04-07;2021-04-06
3;ESTORNADO;2021-04-06T23:50:32;2021-04-06T20:15:39;2021-04-06;72636;82039;92167;36323;61672;15019;2021-04-06;2021-04-06
4;PARC_APROVADO;2021-04-07T09:50:48;2021-04-06T14:25:12;2021-04-06;19534;33326;34393;66512;34951;419;2021-04-06;2021-04-06
5;APROVADO;2021-04-06T21:16:24;2021-04-06T18:18:10;2021-04-06;80675;25047;15494;56601;41233;36136;2021-04-06;2021-04-06
6;PARC_APROVADO;2021-04-06T19:53:32;2021-04-06T18:49:16;2021-04-06;36214;97918;41463;35182;62018;85263;2021-04-06;2021-04-07
7;PENDENTE;2021-04-06T14:48:23;2021-04-07T02:18:13;2021-04-07;56701;20763;92343;4837;59251;67907;2021-04-06;2021-04-06
8;REPROVADO;2021-04-07T05:54:31;2021-04-07T06:50:11;2021-04-07;25331;57472;97652;15049;57062;54810;2021-04-06;2021-04-07
9;PARC_APROVADO;2021-04-06T21:42:55;2021-04-07T07:03:21;2021-04-06;98182;20196;61517;18816;555;57628;2021-04-07;2021-04-06
10;EXPIRADO;2021-04-06T18:08:13;2021-04-06T15:36:24;2021-04-07;40598;80511;31240;43538;81917;80236;2021-04-06;2021-04-07
